shape_id,route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,wheelchair_accessible,bikes_allowed
3442,2,1,NORMAL_2_Katraj To Shivajinagar_Up-0610_0,Katraj To Shivajinagar,,,,,
3443,2,1,NORMAL_2_Shivajinagar To Katraj_Down-0930_0,Shivajinagar To Katraj,,,,,
2903,2,1,NORMAL_2_Shivaji Nagar To Naregaon_Down-1235_0,Shivaji Nagar To Naregaon,,,,,
2316,3,1,NORMAL_3_Swargate To Pune Station_Up-0600_0,Swargate To Pune Station,,,,,
3389,5,1,NORMAL_5_Pune Station To Swargate_Down-0530_0,Pune Station To Swargate,,,,,
2769,9,1,NORMAL_9_Hadapsar Gadital To Uruli Railway Station_Up-1735_0,Hadapsar Gadital To Uruli Railway Station,,,,,
3005,9,1,NORMAL_9_Uruli Railway Station To Hadapsar Gadital_Down-1855_0,Uruli Railway Station To Hadapsar Gadital,,,,,
3380,10,1,NORMAL_10_Swargate To Keshavnagar_Up-0545_0,Swargate To Keshavnagar,,,,,
2356,11,1,NORMAL_11_Marketyard To Pimplegurav_Up-0610_0,Marketyard To Pimplegurav,,,,,
2924,11,1,NORMAL_11_Pimplegurav To Marketyard_Down-1240_0,Pimplegurav To Marketyard,,,,,
4834,12,1,NORMAL_12_Upper Depot To Bhakti Shakti_Up-0730_0,Upper Depot To Bhakti Shakti,,,,,
3394,13,1,NORMAL_13_Upper Depot To Shivajinagar_Up-0535_0,Upper Depot To Shivajinagar,,,,,
3355,14,1,NORMAL_14_Dhayari Maruti Mandir To Kesnand Phata_Up-0540_0,Dhayari Maruti Mandir To Kesnand Phata,,,,,
4624,15,1,NORMAL_15_Swargate To Wagholi_Up-0530_0,Swargate To Wagholi,,,,,
2327,17,1,NORMAL_17_Narhegaon To Shaniwarwada_Down-0615_0,Narhegaon To Shaniwarwada,,,,,
3409,19,1,NORMAL_19_Shivajinagar To Kondhwa Hospital_Down-0600_0,Shivajinagar To Kondhwa Hospital,,,,,
4600,20,1,NORMAL_20_Maharashtra Housing Board Samtanagar To Sahakarnagar_Down-0900_0,Maharashtra Housing Board Samtanagar To Sahakarnagar,,,,,
2616,21,1,NORMAL_21_Swargate To Vasantdada Putala Sangvi_Up-0520_0,Swargate To Vasantdada Putala Sangvi,,,,,
2580,22,1,NORMAL_22_Khandoba Mandir To Shivajinagar_Up-0615_0,Khandoba Mandir To Shivajinagar,,,,,
4473,24,1,NORMAL_24_Katraj To Maharashtra Housing Board Samtanagar_Up-0520_0,Katraj To Maharashtra Housing Board Samtanagar,,,,,
2315,26,1,NORMAL_26_Dhankawadi To Shivajinagar_Up-0545_0,Dhankawadi To Shivajinagar,,,,,
2400,27,1,NORMAL_27_Bharati Vidyapeeth To Shivajinagar_Up-0605_0,Bharati Vidyapeeth To Shivajinagar,,,,,
3609,29,1,NORMAL_29_Swargate To Alandi_Up-1715_0,Swargate To Alandi,,,,,
2854,30,1,NORMAL_30_Marketyard To Ghotawade Phata_Up-0500_0,Marketyard To Ghotawade Phata,,,,,
2813,30,1,NORMAL_30_Ghotawade Phata To Marketyard_Down-0630_0,Ghotawade Phata To Marketyard,,,,,
2310,31,1,NORMAL_31_Taljai Pathar To Pune Station_Up-0530_0,Taljai Pathar To Pune Station,,,,,
2994,31,1,NORMAL_31_Pune Station To Taljai Pathar_Down-0725_0,Pune Station To Taljai Pathar,,,,,
2275,33,1,NORMAL_33_Taljai Pathar To Na Ta Wadi_Up-0620_0,Taljai Pathar To Na Ta Wadi,,,,,
2928,33,1,NORMAL_33_Na Ta Wadi To Taljai Pathar_Down-0730_0,Na Ta Wadi To Taljai Pathar,,,,,
3306,36,1,NORMAL_36_Ma Na Pa To Chinchwadgaon_Up-0530_0,Ma Na Pa To Chinchwadgaon,,,,,
2930,37,1,NORMAL_37_Na Ta Wadi To Sahkarnagar_Down-0610_0,Na Ta Wadi To Sahkarnagar,,,,,
3533,38,1,NORMAL_38_Dhankawadi To Na Ta Wadi_Up-0550_0,Dhankawadi To Na Ta Wadi,,,,,
3528,39,1,NORMAL_39_Dhankawadi To Pune Station_Up-0600_0,Dhankawadi To Pune Station,,,,,
3531,39,1,NORMAL_39_Pune Station To Dhankawadi_Down-0645_0,Pune Station To Dhankawadi,,,,,
2843,41,1,NORMAL_41_Upper Depot To Sangvi_Up-0705_0,Upper Depot To Sangvi,,,,,
2956,41,1,NORMAL_41_Sangvi To Upper Depot_Down-0835_0,Sangvi To Upper Depot,,,,,
4810,42,1,NORMAL_42_Katraj To Bhakti Shakti_Up-0530_0,Katraj To Bhakti Shakti,,,,,
4811,42,1,NORMAL_42_Bhakti Shakti To Katraj_Down-2110_0,Bhakti Shakti To Katraj,,,,,
5003,43,1,NORMAL_43_Katraj To Dange Chowk Via Chandani Chowk_Up-1525_0,Katraj To Dange Chowk Via Chandani Chowk,,,,,
5005,43,1,NORMAL_43_Balewadi Depo To Dange Chowk_Up-0705_0,Balewadi Depo To Dange Chowk,,,,,
4098,46,1,NORMAL_46_Swargate To Lohgaon Via Dhanori_Up-0520_0,Swargate To Lohgaon Via Dhanori,,,,,
2466,47,1,NORMAL_47_Sanaswadi Nandoshi To Shaniwarwada_Down-0650_0,Sanaswadi Nandoshi To Shaniwarwada,,,,,
3561,49,1,NORMAL_49_Khanapur To Pune Station_Down-0600_0,Khanapur To Pune Station,,,,,
3564,50,6,NORMAL_50_Sinhagad To Shaniwarwada_Down-0615_0,Sinhagad To Shaniwarwada,,,,,
3565,51,1,NORMAL_51_Shivajinagar To Dhayari Maruti Mandi_Up-0500_0,Shivajinagar To Dhayari Maruti Mandi,,,,,
3567,52,4,NORMAL_52_Swargate To Khanapur_Up-0600_0,Swargate To Khanapur,,,,,
4196,53,1,NORMAL_53_Mandai Stand To DSK Vishwa_Up-0530_0,Mandai Stand To DSK Vishwa,,,,,
4198,53,1,NORMAL_53_DSK Vishwa To Mandai Stand_Down-0620_0,DSK Vishwa To Mandai Stand,,,,,
4206,55,1,NORMAL_55_Suncity To Mandai_Up-0610_0,Suncity To Mandai,,,,,
4207,56,1,NORMAL_56_Vadgaon Bk To Mandai_Up-0625_0,Vadgaon Bk To Mandai,,,,,
4338,57,1,NORMAL_57_Pune Station To Vadgaon Bk_Up-0515_0,Pune Station To Vadgaon Bk,,,,,
3581,58,1,NORMAL_58_Shanipar To Gokhalenagar_Up-0540_0,Shanipar To Gokhalenagar,,,,,
3583,59,1,NORMAL_59_Shanipar To Niljyoti_Up-0550_0,Shanipar To Niljyoti,,,,,
4194,60,1,NORMAL_60_Mandai Stand To Ghulenagar_Up-0530_0,Mandai Stand To Ghulenagar,,,,,
4195,60,1,NORMAL_60_Ghulenagar To Mandai Stand_Down-0615_0,Ghulenagar To Mandai Stand,,,,,
2357,61,1,NORMAL_61_Nasrapur To Swargate_Down-0630_0,Nasrapur To Swargate,,,,,
2255,61,1,NORMAL_61_Swargate To Nasrapur_Up-1755_0,Swargate To Nasrapur,,,,,
4645,62,1,NORMAL_62_Upper Depot To Sangmwadi Phata_Up-0535_0,Upper Depot To Sangmwadi Phata,,,,,
4701,63,1,NORMAL_63_Swargate To Kalyaninagar_Up-0530_0,Swargate To Kalyaninagar,,,,,
4884,64,1,NORMAL_64_Nehru Stadium To NDA 10 No Gate Bus Stand Via Dattawadi_Up-0540_0,Nehru Stadium To NDA 10 No Gate Bus Stand Via Dattawadi,,,,,
4885,64,1,NORMAL_64_NDA 10 No Gate Bus Stand To Nehru Stadium Via Dattawadi_Down-0645_0,NDA 10 No Gate Bus Stand To Nehru Stadium Via Dattawadi,,,,,
4868,66,1,NORMAL_66_Marketyard To Agalambe (Thakarwadi)_Up-0500_0,Marketyard To Agalambe (Thakarwadi),,,,,
3187,67,1,NORMAL_67_Swargate To Kharadi_UP-0525_0,Swargate To Kharadi,,,,,
2838,69,1,NORMAL_69_Ghotawadegaon To Marketyard_Down-0630_0,Ghotawadegaon To Marketyard,,,,,
3601,70,1,NORMAL_70_Deccan Gymkhana To Sheregaon_Up-0725_0,Deccan Gymkhana To Sheregaon,,,,,
4973,71,1,NORMAL_71_Kothrud Depot To Sukhsagarnagar_Up-0530_0,Kothrud Depot To Sukhsagarnagar,,,,,
4886,72,1,NORMAL_72_Upper Depot To NDA 10 No Gate Bus Stand_Up-0645_0,Upper Depot To NDA 10 No Gate Bus Stand,,,,,
5062,72,1,NORMAL_72_Kondhwagate To Upper Depot_Down-0750_0,Kondhwagate To Upper Depot,,,,,
4650,75,1,NORMAL_75_Vidyanagar To Deccan Gymkhana_Down-0630_0,Vidyanagar To Deccan Gymkhana,,,,,
4707,76,1,NORMAL_76_Kumbare Park To Nehru Stadium_Up-0640_0,Kumbare Park To Nehru Stadium,,,,,
3617,77,1,NORMAL_77_Warje Malwadi To Warje Malwadi_Round-0700_0,Warje Malwadi To Warje Malwadi,,,,,
4888,78,1,NORMAL_78_Marketyard To NDA 10 No Gate Bus Stand_Up-0540_0,Marketyard To NDA 10 No Gate Bus Stand,,,,,
4889,78,1,NORMAL_78_NDA 10 No Gate Bus Stand To Marketyard_Down-0650_0,NDA 10 No Gate Bus Stand To Marketyard,,,,,
4136,80,1,NORMAL_80_Cipla Center To Ma Na Pa_Down-0840_0,Cipla Center To Ma Na Pa,,,,,
4830,80,1,NORMAL_80_Ma Na Pa To Cipla Center To Ma Na Pa_Round-0920_0,Ma Na Pa To Cipla Center To Ma Na Pa,,,,,
4831,80,1,NORMAL_80_Ma Na Pa To Garden City To Ma Na Pa_Round-1100_0,Ma Na Pa To Garden City To Ma Na Pa,,,,,
3626,81,1,NORMAL_81_Kumbare Park To Pune Station_Up-0750_0,Kumbare Park To Pune Station,,,,,
4908,82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-0620_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,,,,
2868,84,1,NORMAL_84_Sangrun To Deccan Gymkhana_Down-0635_0,Sangrun To Deccan Gymkhana,,,,,
2955,84,1,NORMAL_84_Deecan To Bahuli_Up-0650_0,Deecan To Bahuli,,,,,
3631,85,1,NORMAL_85_Mohakarwadi To Ma Na Pa_Down-0705_0,Mohakarwadi To Ma Na Pa,,,,,
3630,85,1,NORMAL_85_Ma Na Pa To Mohakarwadi_Up-0825_0,Ma Na Pa To Mohakarwadi,,,,,
3450,87,1,NORMAL_87_Sutarwadi Pashan To Deccan Gymkhana (Vai Bhagvatinagar)_Down-0630_0,Sutarwadi Pashan To Deccan Gymkhana (Vai Bhagvatinagar),,,,,
4656,87,1,NORMAL_87_Deccan Gymkhana To Susgaon Thaksen Nagar_Up-1040_0,Deccan Gymkhana To Susgaon Thaksen Nagar,,,,,
4986,88,1,NORMAL_88_Swargate To Hinjawadi Maan Phase 3_Up-0515_0,Swargate To Hinjawadi Maan Phase 3,,,,,
4987,88,1,NORMAL_88_Hinjawadi Maan Phase 3 To Swargate_Down-0650_0,Hinjawadi Maan Phase 3 To Swargate,,,,,
3459,89,1,NORMAL_89_Swargate To Niljyoti_Up-0550_0,Swargate To Niljyoti,,,,,
3464,90,1,NORMAL_90_Swargate To Gokhalenagar_Up-0530_0,Swargate To Gokhalenagar,,,,,
4280,91,1,NORMAL_91_Ishannagari To Ma Na Pa Congress Bhavan_Down-0850_0,Ishannagari To Ma Na Pa Congress Bhavan,,,,,
3311,93,1,NORMAL_93_Deccan Gymkhana To Kothrud Depot_Up-2110_0,Deccan Gymkhana To Kothrud Depot,,,,,
3470,93,1,NORMAL_93_Kothrud Depot To Deccan Gymkhana_Down-0620_0,Kothrud Depot To Deccan Gymkhana,,,,,
3632,94,1,NORMAL_94_Kothrud Depot To Pune Station_Up-0535_0,Kothrud Depot To Pune Station,,,,,
3633,94,1,NORMAL_94_Pune Station To Kothrud Depot_Down-0625_0,Pune Station To Kothrud Depot,,,,,
3473,97,1,NORMAL_97_Warje Malwadi To Sahkarnagar_Up-1130_0,Warje Malwadi To Sahkarnagar,,,,,
4603,98,1,NORMAL_98_Deccan Gymkhana To Deccan Gymkhana_Round-0600_0,Deccan Gymkhana To Deccan Gymkhana,,,,,
4475,100,1,NORMAL_100_Ma Na Pa to Hinjawadi Maan Phase 3_Up-0500_0,Ma Na Pa to Hinjawadi Maan Phase 3,,,,,
4476,100,1,NORMAL_100_Hinjawadi Maan Phase 3 to Ma Na Pa_Down-1645_0,Hinjawadi Maan Phase 3 to Ma Na Pa,,,,,
4953,101,1,NORMAL_101_Kothrud Depot To Kondhwa Kh_Up-0650_0,Kothrud Depot To Kondhwa Kh,,,,,
4954,101,1,NORMAL_101_Kondhwa Kh To Kothrud Depot_Down-0755_0,Kondhwa Kh To Kothrud Depot,,,,,
3392,102,1,NORMAL_102_Kothrud Depot To Lohgaon_Up-0520_0,Kothrud Depot To Lohgaon,,,,,
3479,103,1,NORMAL_103_Kothrud Depot To Katraj_Down-0620_0,Kothrud Depot To Katraj,,,,,
4499,103,1,NORMAL_103_Katraj To Kothrud Depot (Ladies Sp)_Up-0720_2,Katraj To Kothrud Depot (Ladies Sp),,,,,
3427,104,1,NORMAL_104_Deccan Gymkhana To DSK Vishwa_Up-0530_0,Deccan Gymkhana To DSK Vishwa,,,,,
3433,105,1,NORMAL_105_Balewadi Depot To Deccan Gymkhana_Down-0620_0,Balewadi Depot To Deccan Gymkhana,,,,,
4200,106,1,NORMAL_106_Kothrud Depot To Dhayari Maruti Mandir_Up-0600_0,Kothrud Depot To Dhayari Maruti Mandir,,,,,
3197,107,1,NORMAL_107_Gharkul Vasahat Warje To Pimplegurav_Down-0530_0,Gharkul Vasahat Warje To Pimplegurav,,,,,
3486,108,1,NORMAL_108_Sutardara To Pune Station_Up-0730_0,Sutardara To Pune Station,,,,,
4633,109,1,NORMAL_109_Manapa To Bavdhan (Nyati Society) Puranik Complex_Up-0655_0,Manapa To Bavdhan (Nyati Society) Puranik Complex,,,,,
3488,109,1,NORMAL_109_Ma Na Pa To Ma Na Pa_Round-0600_0,Ma Na Pa To Ma Na Pa,,,,,
3492,111,1,NORMAL_111_Bhekrainagar To Ma Na Pa_Up-0535_0,Bhekrainagar To Ma Na Pa,,,,,
4484,111,1,NORMAL_111_Bhekrainagar To Ma Na Pa (Ladies Sp)_Up-0805_0,Bhekrainagar To Ma Na Pa (Ladies Sp),,,,,
3252,113,1,NORMAL_113_Mandai Stand To Vasantdada Putala Sangvi Mandai Stand_Round-0650_0,Mandai Stand To Vasantdada Putala Sangvi Mandai Stand,,,,,
3499,114,1,NORMAL_114_Mhalungegaon To Ma Na Pa_Down-0520_0,Mhalungegaon To Ma Na Pa,,,,,
3501,116,1,NORMAL_116_Ma Na Pa To Khadki Bazar_Up-0600_0,Ma Na Pa To Khadki Bazar,,,,,
3503,117,1,NORMAL_117_Swargate To Dhayari Maruti Mandir_Up-0535_0,Swargate To Dhayari Maruti Mandir,,,,,
3506,118,1,NORMAL_118_Swargate To Venutai Chavan College_Up-0545_0,Swargate To Venutai Chavan College,,,,,
3395,118,1,NORMAL_118_Swargate To Suncity_Up-0540_0,Swargate To Suncity,,,,,
3375,119,1,NORMAL_119_Ma Na Pa To Alandi_Up-0530_0,Ma Na Pa To Alandi,,,,,
5044,120,1,NORMAL_120_Bhosari To Mhalunge MIDC_Up-0555_0,Bhosari To Mhalunge MIDC,,,,,
4823,121,1,NORMAL_121_Bhosari Terminal To Ma Na Pa_Down-0510_0,Bhosari Terminal To Ma Na Pa,,,,,
4818,122,1,NORMAL_122_Chinchwadgaon To Ma Na Pa_Down-0515_0,Chinchwadgaon To Ma Na Pa,,,,,
4735,123,1,NORMAL_123_Ma Na Pa To Bhakti Shakti_Up-0550_0,Ma Na Pa To Bhakti Shakti,,,,,
3513,125,1,NORMAL_125_Bopkhel To Sangvigaon_Up-0600_0,Bopkhel To Sangvigaon,,,,,
3540,126,1,NORMAL_126_Pimplenilakh To Vishrantwadi_Down-0725_0,Pimplenilakh To Vishrantwadi,,,,,
4552,127,1,NORMAL_127_Swargate to Vadgaon Mawal_Up-0645_0,Swargate to Vadgaon Mawal,,,,,
3541,128,1,NORMAL_128_Ma Na Pa To Bopkhel_Up-0555_0,Ma Na Pa To Bopkhel,,,,,
3445,130,1,NORMAL_130_Yewalewadi To Shivajinagar_Up-0625_0,Yewalewadi To Shivajinagar,,,,,
4545,131,1,NORMAL_131_Ma Na Pa to Vadgaon Shinde_Up-0530_0,Ma Na Pa to Vadgaon Shinde,,,,,
4546,131,1,NORMAL_131_Vadgaon Shinde to Ma Na Pa_Down-0640_0,Vadgaon Shinde to Ma Na Pa,,,,,
3173,132,1,NORMAL_132_Ma Na Pa To Shubham Society Nagar Road_UP-0530_0,Ma Na Pa To Shubham Society Nagar Road,,,,,
5046,133,1,NORMAL_133_Ma Na Pa To Wadgaonsheri (Via Anand Park)_Up-0540_0,Ma Na Pa To Wadgaonsheri (Via Anand Park),,,,,
3200,133,1,NORMAL_133_Ma Na Pa To Anand Park_Up-0530_0,Ma Na Pa To Anand Park,,,,,
3543,134,1,NORMAL_134_Pune Station To Vidyanagar_Up-0600_0,Pune Station To Vidyanagar,,,,,
4586,135,1,NORMAL_135_Pune Station To Wadebolhai_Up-0530_0,Pune Station To Wadebolhai,,,,,
3547,136,1,NORMAL_136_Pune Station To Vadegaon_Up-0650_0,Pune Station To Vadegaon,,,,,
4853,139,1,NORMAL_139_Bhakti Shakti To Shewalwadi_Down-0630_0,Bhakti Shakti To Shewalwadi,,,,,
4854,139,1,NORMAL_139_Nigdi To Bhekrai nagar_Down-0615_0,Nigdi To Bhekrai nagar,,,,,
3398,140,1,NORMAL_140_Upper Depot To Pune Station_Up-0530_0,Upper Depot To Pune Station,,,,,
3551,141,1,NORMAL_141_Khandoba Mandir To Pune Station_Up-0600_0,Khandoba Mandir To Pune Station,,,,,
3554,142,1,NORMAL_142_Pune Station To Ghotawade Phata_Up-0530_0,Pune Station To Ghotawade Phata,,,,,
2670,143,1,NORMAL_143_Galinde Path To Pune Station (Vai Mhatre Pul)_Up-0530_0,Galinde Path To Pune Station (Vai Mhatre Pul),,,,,
3840,144,1,NORMAL_144_Kothrud Stand To Pune Station_Up-0530_0,Kothrud Stand To Pune Station,,,,,
3572,145,1,NORMAL_145_Pune Station To NDA Gol Market_Up-1120_0,Pune Station To NDA Gol Market,,,,,
4189,145,1,NORMAL_145_Sutarwadi Pashan To Pune Station_Down-0530_0,Sutarwadi Pashan To Pune Station,,,,,
